Tagalog,English
ang,The
sa,in
na,that
ng,of
mo,you
ko,I
hindi,no
ako,I
ka,you
at,and
mga,those
ay,is
lang,just
ba,is
ito,this
siya,he/she
kung,if
para,for
isang,one
si,the
ano,What
kayo,you
dito,here
alam,know
may,with
tayo,we
pero,but
lahat,all
pa,more
nga,that
gusto,want
oo,yes
ni,by
niya,him/her
wala,nothing
natin,our
naman,again
o,or
ngayon,now
kami,we
sige,okay
namin,we
sila,they
akong,my
kailangan,necessary
bakit,why
yan,that
kaya,so
nyo,your
ikaw,you
anong,what
di,not
akin,mine
iyon,that
talaga,really
tao,person
kang,you
walang,nothing
sabihin,say
mong,you
isa,one
kong,if
nang,when
sya,him/her
yun,that
niyo,yours
aking,my
dahil,because
nya,his/her
huwag,don't
nasa,in
yung,that
iyo,you
sino,who
nila,their
kita,income
diyos,god
meron,there is
sir,sir
sabi,said
buhay,life
okay,okay
saan,where
rin,also
salamat,thank you
wag,don't
bang,yes
to,this
siyang,he/she
kahit,even
umalis,leave
dapat,should
din,also
iyong,your
araw,day
siguro,maybe
po,please
doon,there
eh,eh
wood,wood
iyan,that
nelson,Nelson
paano,how
gawin,do
kay,to
kayong,you
noong,when
mundo,world
oh,oh
hoy,hello
iba,other
kaibigan,friend
tama,right
tulad,like
pumunta,go
teka,wait
nating,our
mr.,Mr.
y,y
tapos,done
ibig,love
nakita,seen
kapag,when
ginagawa,doing
kasi,because
taon,year
nasaan,where is
maging,to be
mula,from
tingnan,look
mas,more
puwede,okay
max,max
pala,shovel
bago,new
sinabi,said
itong,this
gabi,night
nandito,here
ating,our
muna,first
tungkol,about
kaniya,him/her
reggie,reggie
sana,I wish
bahay,house
magandang,good
totoo,true
oras,time
ninyo,yours
parang,like
inyo,yours
buong,whole
kanya,him/her
sinasabi,saying
kasama,with
ha,huh
pangalan,name
ayaw,don't want
lamang,only
anak,child
inyong,your
igik,grunt
bilis,speed
maganda,beautiful
tubig,water
nito,this
galing,good
baka,cow
rancho,ranch
pag,when
gagawin,will do
bata,child
ibang,other
makita,see
ginawa,made
tayong,we
todd,todd
ayos,okay
maraming,many
yo,you
season,season
marami,many
pang,more
halika,come
bagay,thing
mukhang,looks like
ah,oh
bagong,new
lugar,place
kaming,we
palabas,show
nangyayari,happening
nangyari,happened
kanyang,his/her
panahon,weather
sayo,to you
rito,here
elliot,Elliot
man,either
ngunit,but
talagang,really
pare,priest
dalawa,two
sandali,moment
loob,inside
niyang,his/her
upang,to
patay,dead
magiging,will be
pwede,okay
tingin,look
trabaho,work
mahal,expensive
pulis,police
aming,our
problema,problem
kunin,take
diyan,there
silang,they
nakuha,got
papa,pope
naming,our
lalaki,man
taong,person
malaman,to know
patayin,kill
labas,outside
pupunta,going
sarili,self
mabuti,good
the,the
heto,here
party,party
amin,us
pumatay,kill
sorry,sorry
ama,father
cyril,Cyril
magaling,good
kilala,known
nakikita,visible
raju,Raju
hanggang,until
dvd,DVD
makikita,visible
duke,duke
hey,hey
akala,thought
puso,heart
pia,pie
kaniyang,his/her
yeah,yes
sumigaw,shout
busan,busan
habang,while
tulong,help
dalawang,two
zoobi,zooby
detective,detective
kanila,theirs
doobi,doobi
uli,again
pakiusap,please
ilang,some
bukas,tomorrow
puwedeng,can
kamay,hand
s,s
n,n
diba,right?
tulungan,help
makinig,listen
dumating,come
malaking,big
espada,sword
kamusta,hello
babae,woman
pagkain,food
dati,before
shishio,shishio
medyo,quite a bit
dahilan,reason
alis,departure
hari,king
malapit,close
kapatid,sibling
nung,when
kailangang,necessary
wow,wow
noon,then
tara,let's go
tumatawa,laughing
farhan,farhan
pagkatapos,then
aso,dog
naging,became
sakin,to me
j-cub,j-cub
makakuha,get
narinig,heard
hello,hello
parati,always
susunod,next
ngayong,now
dwarf,dwarf
i,I
pinto,door
bumalik,return
t,t
linggo,week
maaari,can
kelangan,necessary
masyadong,too
ganon,like that
kasalanan,sin
hayaan,let
bilisan,hurry up
sasabihin,to say
mamatay,die
daan,road
uh,oh
atin,ours
bilang,number
huli,late
gonna,gonna
umaga,morning
hayop,animal
tanga,fool
kanilang,their
you,you
takbo,run
kumuha,take
paraan,way
takot,fear
sikat,famous
huling,last
ok,okay
show,show
gasps,gasps
maghintay,wait
beses,times
battosai,battosai
tatay,father
nakatira,live
lupa,earth
bear,bears
syang,he/she
gustong,want
yaon,that
maliit,small
nawala,lost
mayroon,have
huy,hey
minsan,sometimes
dyan,there
lumabas,go out
winters,winter
miss,miss
merong,there is
bawat,every
kyoto,Kyoto
ganito,like this
katulad,similar
kundi,but
mukha,face
malaki,big
tumahimik,be quiet
tren,train
kotse,car
opo,yes
gamit,use
ivan,Ivan
no,no
my,my
baby,baby
magsalita,speak
nakalimutan,forgotten
kaysa,than
matagal,long
yes,yes
of,of
tumingin,look
maaaring,maybe
sigurado,sure
pumasok,enter
ya,yes
hangin,wind
taas,height
masaya,happy
tawagan,call
ilalim,bottom
natatakot,afraid
magagawa,doable
well,well
yang,that
niyong,yours
me,me
asawa,wife
higit,more
dun,there
su-an,sue
naku,oh my
lalaking,man
gumawa,make
namang,again
sumama,come along
nalaman,found out
iniisip,thinking
j,j
nilang,their
kitang,income
bansa,country
bigyan,give
car,car
virus,virus
gubat,forest
ulo,head
makuha,get
ramone,ramone
ranchhoddas,ranchhoddas
cub,cub
pano,how
pasensiya,apologies
eksena,scene
manatili,stay
maupo,sit down
gumagawa,works
naisip,thought
makina,machine
katie,katie
tweet,tweet
buksan,open
likod,back
parehong,both
a,a
buwan,month
nandoon,there
minuto,minute
mamaya,later
tumigil,stop
makapaniwala,believable
jeremy,Jeremy
namatay,died
pagkakataon,opportunity
liwanag,light
guys,guys
dumbo,dumb
kapwa,both
kausapin,talk to
parating,coming soon
ability,ability
kalokohan,nonsense
kumusta,hello
basta,it just is
ganyan,like that
halos,almost
pareho,both
nanay,mother
wakas,end
ipakita,show
masama,bad
kamahalan,majesty
pamilya,family
dugo,blood
nitong,this
so,so
telepono,telephone
mali,wrong
boypren,boyfriend
siyempre,of course
kenshin,kenshin
pinatay,killed
ganoon,like that
nais,want
station,station
kanina,a while ago
lungsod,city
tigil,stop
thorin,Thorin
mag-alala,worry
chatur,chatur
agad,immediately
excuse,excuse
harap,front
kamatayan,death
kayang,can
pangako,promise
dad,father
mabilis,fast
kumain,eat
hanapin,find
tawag,call
gobyerno,government
pakialam,care
katsuji,katsuji
milyong,million
daejeon,Daejeon
ligtas,safe
guwapo,handsome
laban,against
saki,sack
ulit,again
card,card
mamamatay,to die
episode,episodes
fresnoy,Fresnoy
malakas,strong
naiintindihan,understood
enerhiya,energy
maayos,well
unang,first
sighs,sighs
toddy,toddy
darating,coming
tumawag,call
sinong,who
may-ari,owner
kailan,when
makukuha,available
panoorin,watch
m,m
kuha,photo
grabe,serious
kama,bed
palagay,opinion
kuwarto,room
mama,mom
mismo,itself
ayokong,I don't want to
on,on
lagi,always
ibibigay,will be given
hirap,difficulty
mahirap,difficult
puwet,ass
babalik,will return
sobrang,too much
pera,money
aleman,German
kasal,wedding
huh,huh
bilyong,billion
tatlong,three
tahimik,quiet
kalimutan,forget
lakas,strength
uy,hey
tanong,question
nagbibigay,gives
engineer,engineer
